Id;Nome;Curso;Password;Média;UC;Estatuto
A200028;Patrick Wilson;LEI;senha29;11.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200029;Filipe Oliveira;LEI;senha30;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200030;Carlos Mendes;LEI;senha31;11.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200031;Tiago Sousa;LEI;senha32;8.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200032;Luis Almeida;LEI;senha33;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200033;Chris Evans;LEI;senha34;1.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200034;Bruno Nogueira;LEI;senha35;16.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200035;Maria Antunes;LEI;senha36;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200036;João Pinto;LEI;senha37;11.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200037;Marco Lima;LEI;senha38;16.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200038;Leonardo Martins;LEI;senha39;13.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200039;Edward Carter;LEI;senha40;12.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200040;Sophia Rodriguez;LEI;senha41;10.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200041;Victor Ferreira;LEI;senha42;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200042;Francisco Araujo;LEI;senha43;15.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200043;Rafael Teixeira;LEI;senha44;13.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200044;Tomás Marques;LEI;senha45;14.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200045;Miguel Silva;LEI;senha46;16.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200046;Matthew Johnson;LEI;senha47;13.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200047;Helena Ramos;LEI;senha48;12.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200048;Jorge Cunha;LEI;senha49;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200049;Gabriel Duarte;LEI;senha50;11.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200050;Roberto Matos;LEI;senha51;17.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200051;Diogo Martins;LEI;senha52;19.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200052;Carlos Lima;LEI;senha53;15.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200053;Pedro Moreira;LEI;senha54;13.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200054;Nuno Vieira;LEI;senha55;12.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200055;Miguel Correia;LEI;senha56;10.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200056;Ricardo Monteiro;LEI;senha57;16.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200057;Diana Costa;LEI;senha58;16.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200058;Jessica Taylor;LEI;senha59;13.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200059;André Figueiredo;LEI;senha60;10.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200060;Fernando Sousa;LEI;senha61;13.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200061;Patrícia Almeida;LEI;senha62;11.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200062;Joana Torres;LEI;senha63;14.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200063;Ethan Campbell;LEI;senha64;16.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200064;Leonor Carvalho;LEI;senha65;17.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200065;Paulo Matias;LEI;senha66;15.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200066;Rui Oliveira;LEI;senha67;14.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200067;Lucas Barbosa;LEI;senha68;12.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200068;Hugo Monteiro;LEI;senha69;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200069;Gabriel Santos;LEI;senha70;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200070;Tomás Xavier;LEI;senha71;18.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200071;Diego Martinez;LEI;senha72;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200072;Alex Silva;LEI;senha73;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200073;Clara Fonseca;LEI;senha74;16.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200074;Mateus Braga;LEI;senha75;14.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200075;Bruno Ferreira;LEI;senha76;9.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200076;Nathan Collins;LEI;senha77;10.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;TE
A200077;Vanessa Simões;LEI;senha78;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200078;Beatriz Figueiredo;LEI;senha79;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200079;João Andrade;LEI;senha80;15.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200080;Eduardo Lopes;LEI;senha81;14.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200081;Gabriel Alves;LEI;senha82;11.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200082;João Pires;LEI;senha83;12.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200083;Sara Ribeiro;LEI;senha84;15.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200084;Henrique Castro;LEI;senha85;13.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200085;Beatriz Nogueira;LEI;senha86;14.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200086;Lucas Teixeira;LEI;senha87;16.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200087;Isabela Santos;LEI;senha88;13.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200088;André Neves;LEI;senha89;16.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200089;Tiago Matos;LEI;senha90;12.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200090;Pedro Carvalho;LEI;senha91;16.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200091;Rafael Lopes;LEI;senha92;12.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200092;Cláudia Ferreira;LEI;senha93;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200093;Mariana Oliveira;LEI;senha94;12.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200094;Eduardo Correia;LEI;senha95;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200095;Leonor Marques;LEI;senha96;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200096;Ricardo Silva;LEI;senha97;10.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200097;Vanessa Araújo;LEI;senha98;14.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200098;Lara Barros;LEI;senha99;12.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200099;Aline Costa;LEI;senha100;15.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200100;Filipe Pereira;LEI;senha101;16.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200101;Davi Xavier;LEI;senha102;13.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200102;Melissa Lima;LEI;senha103;14.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200103;Bruno Almeida;LEI;senha104;12.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200104;Luís Fernandes;LEI;senha105;16.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200105;Fernando Ribeiro;LEI;senha106;14.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200106;Sofia Oliveira;LEI;senha107;17.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200107;Matheus Andrade;LEI;senha108;12.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200108;Tiago Costa;LEI;senha109;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200109;Alice Fernandes;LEI;senha110;15.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200110;Joana Barbosa;LEI;senha111;16.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200111;Rodrigo Mendes;LEI;senha112;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200112;Gustavo Torres;LEI;senha113;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200113;Felipe Gomes;LEI;senha114;12.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200114;Sérgio Almeida;LEI;senha115;11.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200115;Marina Silva;LEI;senha116;16.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200116;António Pereira;LEI;senha117;13.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200117;Camila Nunes;LEI;senha118;14.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200118;Rafael Duarte;LEI;senha119;12.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200119;Laura Monteiro;LEI;senha120;16.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200120;Leonardo Almeida;LEI;senha121;14.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200121;Hugo Teixeira;LEI;senha122;13.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200122;Isabel Cardoso;LEI;senha123;16.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200123;Marta Xavier;LEI;senha124;14.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200124;João Cruz;LEI;senha125;15.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200125;Eduarda Nogueira;LEI;senha126;12.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200126;Gonçalo Fernandes;LEI;senha127;14.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200127;Beatriz Marques;LEI;senha128;12.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200128;Tiago Pires;LEI;senha129;13.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200129;Rita Ferreira;LEI;senha130;15.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200130;André Matos;LEI;senha131;13.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200131;Sofia Ramos;LEI;senha132;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200132;Miguel Costa;LEI;senha133;16.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200133;Inês Almeida;LEI;senha134;13.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200134;Luís Rodrigues;LEI;senha135;12.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200135;Joana Santos;LEI;senha136;14.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200136;Pedro Costa;LEI;senha137;12.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200137;Carla Ribeiro;LEI;senha138;15.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200138;Bruno Moreira;LEI;senha139;13.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200139;Tiago Lima;LEI;senha140;14.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200140;Mariana Silva;LEI;senha141;16.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
